film_id,Analistas e IA,Analistas e Autores,Analistas e Pares,IA e Autores,IA e Pares,Autores e Pares
1070101,0.22283227741718292,0.2870592772960663,0.34588325023651123,0.13424815237522125,0.12491699308156967,0.44141140580177307
1070102,0.2897847890853882,0.40123575925827026,0.27550336718559265,0.1464267075061798,0.12897036969661713,0.4075840711593628
1070103,0.23188084363937378,0.42783284187316895,0.2346070110797882,0.23002222180366516,0.1770586222410202,0.5215611457824707
1070105,0.18578171730041504,0.4481227993965149,0.29257720708847046,0.20490716397762299,0.1616399884223938,0.49356529116630554
1070106,0.37053772807121277,0.4656500816345215,0.552446722984314,0.2813068628311157,0.3283441364765167,0.492121160030365
1070107,0.2135114073753357,0.4472656846046448,0.3582558035850525,0.15710324048995972,0.12785440683364868,0.4251018166542053
1070109,0.22829800844192505,0.4393918216228485,0.43588152527809143,0.28177088499069214,0.23883236944675446,0.36270612478256226
1070110,0.24662762880325317,0.3121280372142792,0.26455843448638916,0.20110145211219788,0.19164231419563293,0.574285626411438
1070111,0.18406496942043304,0.3422467112541199,0.3634011149406433,0.1949169635772705,0.18525032699108124,0.6180146932601929
1070112,0.1703273057937622,0.21207883954048157,0.26309213042259216,0.18863451480865479,0.18573802709579468,0.71628737449646
1070113,0.3445868492126465,0.443207323551178,0.28696832060813904,0.23556652665138245,0.21564704179763794,0.4042046070098877
1070114,0.2298395037651062,0.40197640657424927,0.39970603585243225,0.2965547442436218,0.22073838114738464,0.38915741443634033
1070115,0.34945106506347656,0.42317289113998413,0.39732757210731506,0.2870205044746399,0.22891958057880402,0.45533227920532227
1070116,0.15061591565608978,0.1718883514404297,0.17188841104507446,0.1649615615606308,0.164961576461792,
1080101,0.19406020641326904,0.33598265051841736,0.22607485949993134,0.2158646583557129,0.16144146025180817,0.46673882007598877
1080102,0.1992267668247223,0.3807372450828552,0.35765719413757324,0.19897599518299103,0.17086097598075867,0.48168981075286865
1080103,0.30875056982040405,0.360384076833725,0.3031627833843231,0.19081002473831177,0.19138392806053162,0.5505945682525635
1080104,0.14569254219532013,0.3618646562099457,0.26161158084869385,0.15528668463230133,0.15627937018871307,0.5094664692878723
1080105,0.3667409420013428,0.32489168643951416,0.27969440817832947,0.22440168261528015,0.15530206263065338,0.5307896733283997
